movieId,imdbId,title,genres
0,114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
481,113497,Jumanji (1995),Adventure|Children|Fantasy
1,113228,Grumpier Old Men (1995),Comedy|Romance
482,114885,Waiting to Exhale (1995),Comedy|Drama|Romance
483,113041,Father of the Bride Part II (1995),Comedy
2,113277,Heat (1995),Action|Crime|Thriller
484,114319,Sabrina (1995),Comedy|Romance
485,112302,Tom and Huck (1995),Adventure|Children
5017,114576,Sudden Death (1995),Action
486,113189,GoldenEye (1995),Action|Adventure|Thriller
487,112346,"American President, The (1995)",Comedy|Drama|Romance
1399,112896,Dracula: Dead and Loving It (1995),Comedy|Horror
488,112453,Balto (1995),Adventure|Animation|Children
3678,113987,Nixon (1995),Drama
489,112760,Cutthroat Island (1995),Action|Adventure|Romance
490,112641,Casino (1995),Crime|Drama
491,114388,Sense and Sensibility (1995),Drama|Romance
2657,113101,Four Rooms (1995),Comedy
492,112281,Ace Ventura: When Nature Calls (1995),Comedy
3604,113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
291,113161,Get Shorty (1995),Comedy|Crime|Thriller
493,112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
2163,112401,Assassins (1995),Action|Crime|Thriller
494,114168,Powder (1995),Drama|Sci-Fi
495,113627,Leaving Las Vegas (1995),Drama|Romance
496,114057,Othello (1995),Drama
497,114011,Now and Then (1995),Children|Drama
2430,114117,Persuasion (1995),Drama|Romance
2068,112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
6914,115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
259,112792,Dangerous Minds (1995),Drama
292,114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
460,112431,Babe (1995),Children|Drama
461,112818,Dead Man Walking (1995),Crime|Drama
1859,113442,It Takes Two (1995),Children|Comedy
462,112697,Clueless (1995),Comedy|Romance
6704,112749,"Cry, the Beloved Country (1995)",Drama
498,114279,Richard III (1995),Drama|War
5992,112819,Dead Presidents (1995),Action|Crime|Drama
499,114272,Restoration (1995),Drama
971,113855,Mortal Kombat (1995),Action|Adventure|Fantasy
293,114681,To Die For (1995),Comedy|Drama|Thriller
500,113347,How to Make an American Quilt (1995),Drama|Romance
3,114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
1400,114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
5596,114916,When Night Is Falling (1995),Drama|Romance
4,114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
294,113819,Mighty Aphrodite (1995),Comedy|Drama|Romance
3711,110299,Lamerica (1994),Adventure|Drama
501,112499,"Big Green, The (1995)",Children|Comedy
3679,113158,Georgia (1995),Drama
2651,113321,Home for the Holidays (1995),Drama
295,110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
502,113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
503,116260,Eye for an Eye (1996),Drama|Thriller
504,113862,Mr. Holland's Opus (1995),Drama
5832,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
1401,118002,Two if by Sea (1996),Comedy|Romance
505,115683,Bio-Dome (1996),Comedy
506,116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
4035,113149,French Twist (Gazon maudit) (1995),Comedy|Romance
2663,113118,Friday (1995),Comedy
5,116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
4663,113010,Fair Game (1995),Action
5550,113537,Kicking and Screaming (1995),Comedy|Drama
4698,113828,"Misérables, Les (1995)",Drama|War
2420,115644,Bed of Roses (1996),Drama|Romance
5018,115676,Big Bully (1996),Comedy|Drama
507,114367,Screamers (1995),Action|Sci-Fi|Thriller
9348,113973,Nico Icon (1995),Documentary
2421,112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
508,116731,"Juror, The (1996)",Drama|Thriller
6915,112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
4036,114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
2503,112379,Antonia's Line (Antonia) (1995),Comedy|Drama
5687,114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance
4037,112365,Angels and Insects (1995),Drama|Romance
509,118158,White Squall (1996),Action|Adventure|Drama
510,116151,Dunston Checks In (1996),Children|Comedy
511,115697,Black Sheep (1996),Comedy
512,113972,Nick of Time (1995),Action|Thriller
513,117002,Mary Reilly (1996),Drama|Horror|Thriller
514,114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance
2431,115639,Beautiful Girls (1996),Comedy|Drama|Romance
515,115759,Broken Arrow (1996),Action|Adventure|Thriller
8152,113403,In the Bleak Midwinter (1995),Comedy|Drama
5289,113247,"Hate (Haine, La) (1995)",Crime|Drama
5551,113283,Heidi Fleiss: Hollywood Madam (1995),Documentary
516,115907,City Hall (1996),Drama|Thriller
6,115734,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
517,117102,Mr. Wrong (1996),Comedy
8579,118040,Unforgettable (1996),Mystery|Sci-Fi|Thriller
518,116483,Happy Gilmore (1996),Comedy
519,112579,"Bridges of Madison County, The (1995)",Drama|Romance
296,110251,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
1402,117110,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
9349,112646,Catwalk (1996),Documentary
7,112573,Braveheart (1995),Action|Drama|War
1093,75314,Taxi Driver (1976),Crime|Drama|Thriller
520,113326,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
521,115645,Before and After (1996),Drama|Mystery
4038,112373,Anne Frank Remembered (1995),Documentary
9411,115033,"Young Poisoner's Handbook, The (1995)",Crime|Drama
1403,116606,If Lucy Fell (1996),Comedy|Romance
7421,114536,"Steal Big, Steal Little (1995)",Comedy
2504,106473,"Boys of St. Vincent, The (1992)",Drama
2543,103859,Boomerang (1992),Comedy|Romance
6019,109424,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
297,116324,Flirting With Disaster (1996),Comedy
298,110647,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
6144,110217,Jupiter's Wife (1994),Documentary
6446,114131,Pie in the Sky (1996),Comedy|Romance
4875,113451,Jade (1995),Thriller
522,116130,Down Periscope (1996),Comedy
9561,113756,Man of the Year (1995),Documentary
523,118055,Up Close and Personal (1996),Drama|Romance
524,115685,"Birdcage, The (1996)",Comedy
2544,112585,"Brothers McMullen, The (1995)",Comedy
525,112442,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
526,112342,"Amazing Panda Adventure, The (1995)",Adventure|Children
2164,112461,"Basketball Diaries, The (1995)",Drama
5552,112427,"Awfully Big Adventure, An (1995)",Drama
9350,109093,Amateur (1994),Crime|Drama|Thriller
463,112384,Apollo 13 (1995),Adventure|Drama|IMAX
8,114287,Rob Roy (1995),Action|Drama|Romance|War
7125,112288,"Addiction, The (1995)",Drama|Horror
464,112462,Batman Forever (1995),Action|Adventure|Comedy|Crime
3680,61395,Beauty of the Day (Belle de jour) (1967),Drama
5553,112495,Beyond Rangoon (1995),Adventure|Drama|War
4463,112541,Blue in the Face (1995),Comedy|Drama
9,109370,Canadian Bacon (1995),Comedy|War
527,112642,Casper (1995),Adventure|Children
528,112688,Clockers (1995),Crime|Drama|Mystery
529,112715,Congo (1995),Action|Adventure|Mystery|Sci-Fi
530,112740,Crimson Tide (1995),Drama|Thriller|War
299,109508,Crumb (1994),Documentary
10,112851,Desperado (1995),Action|Romance|Western
3606,112857,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
531,112864,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
5290,112887,"Doom Generation, The (1995)",Comedy|Crime|Drama
532,113071,First Knight (1995),Action|Drama|Romance
5287,113114,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
533,113243,Hackers (1995),Action|Adventure|Crime|Thriller
300,113464,Jeffrey (1995),Comedy|Drama
1026,113481,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
1404,113492,Judge Dredd (1995),Action|Crime|Sci-Fi
534,113500,Jury Duty (1995),Comedy
2069,113540,Kids (1995),Drama
301,113677,Living in Oblivion (1995),Comedy
535,113690,Lord of Illusions (1995),Horror
5554,107447,Love & Human Remains (1993),Comedy|Drama
536,113729,Mad Love (1995),Drama|Romance
