movieId,movie_title,genres,release_year,avg_rating,num_rating,imdbId,tmdbId
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,3.92,215,114709,862.0
2,Jumanji,Adventure|Children|Fantasy,1995,3.43,110,113497,8844.0
3,Grumpier Old Men,Comedy|Romance,1995,3.26,52,113228,15602.0
4,Waiting to Exhale,Comedy|Drama|Romance,1995,2.36,7,114885,31357.0
5,Father of the Bride Part II,Comedy,1995,3.07,49,113041,11862.0
6,Heat,Action|Crime|Thriller,1995,3.95,102,113277,949.0
7,Sabrina,Comedy|Romance,1995,3.19,54,114319,11860.0
8,Tom and Huck,Adventure|Children,1995,2.88,8,112302,45325.0
9,Sudden Death,Action,1995,3.12,16,114576,9091.0
10,GoldenEye,Action|Adventure|Thriller,1995,3.5,132,113189,710.0
11,"American President, The",Comedy|Drama|Romance,1995,3.67,70,112346,9087.0
12,Dracula: Dead and Loving It,Comedy|Horror,1995,2.42,19,112896,12110.0
13,Balto,Adventure|Animation|Children,1995,3.12,8,112453,21032.0
14,Nixon,Drama,1995,3.83,18,113987,10858.0
15,Cutthroat Island,Action|Adventure|Romance,1995,3.0,13,112760,1408.0
16,Casino,Crime|Drama,1995,3.93,82,112641,524.0
17,Sense and Sensibility,Drama|Romance,1995,3.78,67,114388,4584.0
18,Four Rooms,Comedy,1995,3.7,20,113101,5.0
19,Ace Ventura: When Nature Calls,Comedy,1995,2.73,88,112281,9273.0
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,2.5,15,113845,11517.0
21,Get Shorty,Comedy|Crime|Thriller,1995,3.49,89,113161,8012.0
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,3.22,36,112722,1710.0
23,Assassins,Action|Crime|Thriller,1995,3.12,16,112401,9691.0
24,Powder,Drama|Sci-Fi,1995,3.12,28,114168,12665.0
25,Leaving Las Vegas,Drama|Romance,1995,3.62,76,113627,451.0
26,Othello,Drama,1995,3.5,13,114057,16420.0
27,Now and Then,Children|Drama,1995,3.33,9,114011,9263.0
28,Persuasion,Drama|Romance,1995,4.23,11,114117,17015.0
29,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,4.01,38,112682,902.0
30,Shanghai Triad,Crime|Drama,1995,3.0,3,115012,37557.0
31,Dangerous Minds,Drama,1995,3.18,38,112792,9909.0
32,Twelve Monkeys,Mystery|Sci-Fi|Thriller,1995,3.98,177,114746,63.0
34,Babe,Children|Drama,1995,3.65,128,112431,9598.0
36,Dead Man Walking,Crime|Drama,1995,3.84,67,112818,687.0
38,It Takes Two,Children|Comedy,1995,2.12,4,113442,33689.0
39,Clueless,Comedy|Romance,1995,3.29,104,112697,9603.0
40,"Cry, the Beloved Country",Drama,1995,4.25,2,112749,34615.0
41,Richard III,Drama|War,1995,3.7,15,114279,31174.0
42,Dead Presidents,Action|Crime|Drama,1995,3.0,7,112819,11443.0
43,Restoration,Drama,1995,3.19,8,114272,35196.0
44,Mortal Kombat,Action|Adventure|Fantasy,1995,2.54,46,113855,9312.0
45,To Die For,Comedy|Drama|Thriller,1995,3.31,32,114681,577.0
46,How to Make an American Quilt,Drama|Romance,1995,3.07,15,113347,11861.0
47,Seven,Mystery|Thriller,1995,3.98,203,114369,807.0
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,3.15,68,114148,10530.0
49,When Night Is Falling,Drama|Romance,1995,3.0,1,114916,8391.0
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,4.24,204,114814,629.0
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,3.46,28,113819,11448.0
53,Lamerica,Adventure|Drama,1994,5.0,2,110299,49133.0
54,"Big Green, The",Children|Comedy,1995,2.33,3,112499,26441.0
55,Georgia,Drama,1995,4.0,1,113158,97406.0
57,Home for the Holidays,Drama,1995,3.06,8,113321,9089.0
58,"Postman, The",Comedy|Drama|Romance,1994,4.03,37,110877,11010.0
